I[2019-10-14|22:00:05.809] starting ABCI with Tendermint                module=main 
E[2019-10-14|22:00:31.050] dialing failed (attempts: 1): dial tcp 35.194.181.217:26656: i/o timeout module=pex addr=dd007089b861900dea9ee4280451106c1a4ff41a@35.194.181.217:26656
E[2019-10-14|22:01:00.049] dialing failed (attempts: 1): dial tcp [2a05:d014:c32:e843:6acd:57d1:610e:bb25]:26656: connect: network is unreachable module=pex addr=4297cbaf959b0d64d89851a0bf52c0160134efc5@[2a05:d014:c32:e843:6acd:57d1:610e:bb25]:26656
E[2019-10-14|22:01:00.635] dialing failed (attempts: 1): auth failure: conn.ID (3d354e7383afa29b5bf9741fa4b9831403e880c5) dialed ID (efd72642f5991607b12a79a15defe9187476320f) mismatch module=pex addr=efd72642f5991607b12a79a15defe9187476320f@51.15.127.68:26656
E[2019-10-14|22:01:01.048] dialing failed (attempts: 1): dial tcp 18.203.234.98:26656: i/o timeout module=pex addr=6b99e4c3db603dfe07793d799e701a7caa63f7ee@18.203.234.98:26656
E[2019-10-14|22:01:01.048] dialing failed (attempts: 1): dial tcp 18.224.135.3:26656: i/o timeout module=pex addr=3f56edc78db48923591b8628491f4ac2f69ec66c@18.224.135.3:26656
E[2019-10-14|22:01:01.048] dialing failed (attempts: 1): dial tcp 34.252.187.224:26656: i/o timeout module=pex addr=1746db4d470c8941aa13b7c0c9d49d478fca2951@34.252.187.224:26656
E[2019-10-14|22:01:01.048] dialing failed (attempts: 1): dial tcp 100.96.22.2:26656: i/o timeout module=pex addr=7c863b16eb349b2b5374c9b93d97975288699de3@100.96.22.2:26656
E[2019-10-14|22:01:01.049] dialing failed (attempts: 1): dial tcp 100.96.54.6:26656: i/o timeout module=pex addr=51bf44cf343b850fad2fbbcd8469e2b65dcbc76f@100.96.54.6:26656
E[2019-10-14|22:01:01.049] dialing failed (attempts: 1): dial tcp 100.96.2.168:26656: i/o timeout module=pex addr=8543e83daba200fd9155365d81afedf7e6b0002a@100.96.2.168:26656
E[2019-10-14|22:01:30.048] dialing failed (attempts: 1): dial tcp [2a05:d014:c32:e842:d337:50fa:7c4a:b27b]:26656: connect: network is unreachable module=pex addr=827e0cc1c63afc622519d8050bbf02446169afd2@[2a05:d014:c32:e842:d337:50fa:7c4a:b27b]:26656
E[2019-10-14|22:01:31.049] dialing failed (attempts: 1): dial tcp 34.241.12.222:26656: i/o timeout module=pex addr=376a64b73159fee55fcabdc350be1b620b3032c2@34.241.12.222:26656
E[2019-10-14|22:01:31.049] dialing failed (attempts: 1): dial tcp 100.96.53.75:26656: i/o timeout module=pex addr=ab872ebd48b020667b4d24b736f00ef3d53013c7@100.96.53.75:26656
E[2019-10-14|22:01:31.049] dialing failed (attempts: 1): dial tcp 54.154.189.123:26656: i/o timeout module=pex addr=83585a5c18a127c1e08e70609d528097b4b24b0a@54.154.189.123:26656
E[2019-10-14|22:01:31.049] dialing failed (attempts: 1): dial tcp 100.96.20.86:26656: i/o timeout module=pex addr=f39bfbabf0171b9bb6b2d3b331aa00c321ec44d4@100.96.20.86:26656
E[2019-10-14|22:01:31.049] dialing failed (attempts: 1): dial tcp 13.229.186.224:26656: i/o timeout module=pex addr=03a7f9a91d5cbc49efbe4b940a5885a6cc439524@13.229.186.224:26656
E[2019-10-14|22:01:31.049] dialing failed (attempts: 2): dial tcp 18.203.234.98:26656: i/o timeout module=pex addr=107e95b28109ff2fa85d49cae44bf8dbc42bfcb7@18.203.234.98:26656
